2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of Griffin - (GA);GA;Municipal;2.366;160.256;21.032,0;13,12
City of La Grange - (GA);GA;Municipal;1.852;170.305;17.197,0;10,10
City of Lawrenceville - (GA);GA;Municipal;2.050;218.775;21.035,6;9,62
City of Marietta - (GA);GA;Municipal;6.298;623.266;71.927,9;11,54
City of Sylvania - (GA);GA;Municipal;426;38.481;4.722,7;12,27
City of Thomasville - (GA);GA;Municipal;2.451;310.871;32.210,5;10,36
Coastal Electric Member Corp;GA;Cooperative;3.130;78.456;10.179,2;12,97
Cobb Electric Membership Corp;GA;Cooperative;23.140;1.241.910;126.026,1;10,15
Colquitt Electric Membership Corp;GA;Cooperative;3.740;70.623;9.736,4;13,79
Coweta-Fayette El Member Corp;GA;Cooperative;6.493;302.604;39.258,8;12,97
Crisp County Power Comm;GA;Political Subdivision;2.831;116.692;15.995,0;13,71
Dalton Utilities;GA;Municipal;4.198;1.373.804;144.025,0;10,48
Diverse Power Incorporated;GA;Cooperative;5.257;138.479;24.007,2;17,34
Excelsior Electric Member Corp;GA;Cooperative;1.606;49.320;6.808,5;13,80
Flint Electric Membership Corp;GA;Cooperative;11.798;504.665;59.443,8;11,78
Georgia Power Co;GA;Investor Owned;335.274;32.876.026;4.154.542,1;12,64
Grady Electric Membership Corp;GA;Cooperative;966;54.302;7.105,0;13,08
GreyStone Power Corporation;GA;Cooperative;12.624;613.410;69.494,0;11,33
Habersham Electric Membership Corp;GA;Cooperative;2.575;104.260;12.218,0;11,72
Hart Electric Member Corp;GA;Cooperative;9.079;191.864;26.584,0;13,86
Haywood Electric Member Corp;GA;Cooperative;6;25;5,0;20,00
Irwin Electric Membership Corp;GA;Cooperative;402;22.292;3.118,0;13,99
Jackson Electric Member Corp - (GA);GA;Cooperative;24.154;1.594.098;189.444,0;11,88
Jefferson Electric Member Corp;GA;Cooperative;1.948;69.072;8.401,0;12,16
Longroad Energy;GA;Behind the Meter;2;1.487;193,3;13,00
Mitchell Electric Member Corp;GA;Cooperative;4.307;151.749;21.167,5;13,95
Newnan Wtr, Sewer & Light Comm;GA;Municipal;1.816;196.686;19.454,0;9,89
North Georgia Elec Member Corp;GA;Cooperative;15.599;758.845;82.976,0;10,93
Oconee Electric Member Corp;GA;Cooperative;2.558;37.335;5.508,6;14,75
Okefenoke Rural El Member Corp;GA;Cooperative;2.175;60.084;7.602,3;12,65
Planters Electric Member Corp;GA;Cooperative;1.039;37.841;4.216,4;11,14
Rayle Electric Membership Corp;GA;Cooperative;3.243;60.686;8.687,0;14,31
Satilla Rural Elec Member Corporation;GA;Cooperative;5.422;131.088;19.141,4;14,60
Sawnee Electric Membership Corporation;GA;Cooperative;19.696;980.802;107.428,0;10,95
Snapping Shoals El Member Corp;GA;Cooperative;4.313;265.820;29.598,3;11,13
Southern Rivers Energy;GA;Cooperative;1.143;38.242;5.556,0;14,53
Sumter Electric Member Corp;GA;Cooperative;6.115;104.972;16.284,3;15,51
TerraForm US Energy Services, LLC;GA;Behind the Meter;5;6.381;878,0;13,76
Three Notch Elec Member Corp;GA;Cooperative;489;29.518;4.492,0;15,22
Tri-County Elec Member Corp (GA);GA;Cooperative;2.169;58.148;8.370,5;14,40
Tri-State Electric Member Corp;GA;Cooperative;3.057;85.486;12.203,0;14,27
Walton Electric Member Corp;GA;Cooperative;10.095;1.127.592;87.281,0;7,74
Washington Elec Member Corp;GA;Cooperative;1.101;59.566;7.565,4;12,70
Greenbacker Renewable Energy Corporation;HI;Behind the Meter;1;463;92,5;19,98
Hawaii Electric Light Co Inc;HI;Investor Owned;11.419;362.753;167.986,7;46,31
Hawaiian Electric Co Inc;HI;Investor Owned;33.189;1.946.506;770.430,8;39,58
Kauai Island Utility Cooperative;HI;Cooperative;4.964;116.206;45.966,6;39,56
Longroad Energy;HI;Behind the Meter;7;2.246;477,7;21,27
Maui Electric Co Ltd;HI;Investor Owned;10.554;333.793;146.988,4;44,04
TerraForm US Energy Services, LLC;HI;Behind the Meter;6;1.667;404,0;24,24
Tesla Inc.;HI;Behind the Meter;2.371;34.883;3.548,0;10,17
Access Energy Coop;IA;Cooperative;194;28.049;2.881,3;10,27
Amana Society Service Co;IA;Investor Owned;179;9.231;1.283,0;13,90
Board of Water Electric & Communications;IA;Municipal;1.560;144.151;12.985,1;9,01
Butler County Rural Elec Coop - (IA);IA;Cooperative;10;24;9,0;37,50
Cedar Falls Utilities;IA;Municipal;2.190;269.641;24.058,0;8,92
City of Ames - (IA);IA;Municipal;3.053;333.957;29.087,5;8,71
City of Independence - (IA);IA;Municipal;463;41.001;4.158,4;10,14
City of Maquoketa - (IA);IA;Municipal;606;32.279;3.721,1;11,53
City of Preston;IA;Municipal;130;3.366;398,3;11,83
Consumers Energy;IA;Cooperative;629;29.173;3.398,0;11,65
